,Zero shot Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,flores_plus,,,,,,,,,,,,,,commonlid,,,,,,,,,,,,wili-2018,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,Sinhala-Sinh,Pali-Sinh,Sanskrit-Sinh,Sanskrit-Deva,English-Latn,Tamil-Taml,Hindi-Deva,Bengali-Beng,Arabic-Arab,French-Latn,German-Latn,,,Model,Sinhala-Sinh,Pali-Sinh,Sanskrit-Sinh,Sanskrit-Deva,English-Latn,Tamil-Taml,Hindi-Deva,Bengali-Beng,Arabic-Arab,French-Latn,German-Latn,,,Model,Sinhala-Sinh,Pali-Sinh,Sanskrit-Sinh,Sanskrit-Deva,English-Latn,Tamil-Taml,Hindi-Deva,Bengali-Beng,Arabic-Arab,French-Latn,German-Latn,
XLM-R Base,,,,,0.9985,,0.1835,,0.6671,0.999,1,,,XLM-R Base,,,,,0.9473,,0.4403,,0.9955,0.9483,0.9677,,,XLM-R Base,,,,,0.9527,,0.1811,,,0.99,0.9899,
ConLID,0.7916,,,0.9985,0.996,0.9995,0.997,0.9995,0.3733,1,0.997,,,ConLID,0.7916,,,0.9591,0.85,0.9818,0.9443,0.9615,0.7664,0.8974,0.8953,,,ConLID,0.7916,,,0.9924,0.9439,0.9945,0.9899,0.9435,,0.9819,0.9707,
fastText LID-176,0.7912,,,0.9594,0.7213,1,0.9629,1,0.6667,0.9873,0.9897,,,fastText LID-176,0.791,,,0.8886,0.9724,0.9643,0.9702,0.9936,0.9947,0.9447,0.9673,,,fastText LID-176,0.7912,,,0.9904,0.9385,0.995,0.9889,0.9529,,0.9774,0.9854,
GlotLID v3,0.7914,,,0.995,1,1,0.9926,0.9995,0.6054,1,1,,,GlotLID v3,0.7914,,,0.9634,0.9255,0.9878,0.9713,0.9792,0.9631,0.9255,0.9215,,,GlotLID v3,0.7914,,,0.9914,0.9377,0.995,0.9173,0.9451,,0.988,0.9754,
NLLB LID-218,0.7912,,,0.9895,0.984,1,0.9912,1,0.6664,0.9995,1,,,NLLB LID-218,0.7912,,,0.9282,0.924,0.9747,0.964,0.9863,0.9923,0.9289,0.941,,,NLLB LID-218,0.7912,,,0.9909,0.9301,0.994,0.9889,0.9429,,0.99,0.9904,
OpenLID-v2,0.7912,,,0.035,0.9995,1,0.0361,0.997,0.5579,0.9975,1,,,OpenLID-v2,0.7912,,,0.1169,0.8973,0.9877,0.1749,0.9722,0.9473,0.9052,0.9239,,,OpenLID-v2,0.7912,,,0.0276,0.9427,0.994,0.0134,0.9424,,0.9687,0.9817,
,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Finetune using 3 languages (Sinhala, Pali, Sanskrit custom dataset)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,flores_plus,,,,,,,,,,,,,,commonlid,,,,,,,,,,,,wili-2018,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,Sinhala-Sinh,Pali-Sinh,Sanskrit-Sinh,Sanskrit-Deva,English-Latn,Tamil-Taml,Hindi-Deva,Bengali-Beng,Arabic-Arab,French-Latn,German-Latn,Macro F1,,Model,Sinhala-Sinh,Pali-Sinh,Sanskrit-Sinh,Sanskrit-Deva,English-Latn,Tamil-Taml,Hindi-Deva,Bengali-Beng,Arabic-Arab,French-Latn,German-Latn,Macro F1,,Model,Sinhala-Sinh,Pali-Sinh,Sanskrit-Sinh,Sanskrit-Deva,English-Latn,Tamil-Taml,Hindi-Deva,Bengali-Beng,Arabic-Arab,French-Latn,German-Latn,Macro F1
XLM-R Base,,,,,,,,,,,,,,XLM-R Base,,,,,,,,,,,,,,XLM-R Base,,,,,,,,,,,,
ConLID,0.9656,0.9754,0.9519,0.9985,0.996,0.9995,0.997,1,0.3688,1,0.997,0.9318,,ConLID,0.9656,0.9746,0.9497,0.9624,0.8505,0.9818,0.9447,0.9623,0.7167,0.8975,0.8959,0.9183,,ConLID,0.9656,0.9754,0.9471,0.9985,0.9439,0.9944,0.9904,0.9435,0.6662,0.9808,0.9707,0.9433
fastText LID-176,0.9917,0.9927,0.9839,0.9829,0.7074,1,0.9946,1,0.6667,1,0.9966,0.9379,,fastText LID-176,0.9901,0.9924,0.9705,0.9259,0.9335,0.9938,0.9665,0.9933,0.9899,0.9629,0.9748,0.9721,,fastText LID-176,0.9917,0.9927,0.9921,0.9919,0.9381,0.995,0.9899,0.9507,0.9985,0.9891,0.9904,0.9836
GlotLID v3,0.9956,0.9957,0.9943,0.9955,1,1,0.9931,0.9995,0.5949,1,1,0.9608,,GlotLID v3,0.9755,0.9862,0.9921,0.9645,0.9284,0.9818,0.9618,0.9808,0.9458,0.9255,0.9213,0.9603,,GlotLID v3,0.9956,0.9957,0.9895,0.9975,0.9372,0.9949,0.9107,0.9451,0.955,0.9859,0.9738,0.971
NLLB LID-218,0.9969,0.9965,0.9951,0.9905,1,1,0.9926,1,0.6667,0.9995,0.9995,0.967,,NLLB LID-218,0.9682,0.9601,0.9929,0.9329,0.9026,0.9875,0.9574,0.9868,0.9925,0.9164,0.9414,0.9581,,NLLB LID-218,0.9969,0.9964,0.9902,0.9969,0.9448,0.9939,0.9894,0.9429,0.998,0.9899,0.9899,0.9845
OpenLID-v2,,,,,,,,,,,,,,OpenLID-v2,,,,,,,,,,,,,,OpenLID-v2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finetune using all languages. ( 3 languages training dataset + other langugaes training dataset),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,flores_plus,,,,,,,,,,,,,,commonlid,,,,,,,,,,,,wili-2018,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,Sinhala-Sinh,Pali-Sinh,Sanskrit-Sinh,Sanskrit-Deva,English-Latn,Tamil-Taml,Hindi-Deva,Bengali-Beng,Arabic-Arab,French-Latn,German-Latn,Macro F1,,Model,Sinhala-Sinh,Pali-Sinh,Sanskrit-Sinh,Sanskrit-Deva,English-Latn,Tamil-Taml,Hindi-Deva,Bengali-Beng,Arabic-Arab,French-Latn,German-Latn,Macro F1,,Model,Sinhala-Sinh,Pali-Sinh,Sanskrit-Sinh,Sanskrit-Deva,English-Latn,Tamil-Taml,Hindi-Deva,Bengali-Beng,Arabic-Arab,French-Latn,German-Latn,Macro F1
XLM-R Base,,,,,,,,,,,,,,XLM-R Base,,,,,,,,,,,,,,XLM-R Base,,,,,,,,,,,,
