Model,Dataset,Evaluation Metric,Zero-shot,Sinhala-Sinh,Pali-Sinh,Sanskrit-Sinh,Sanskrit-Deva,English-Latn,Tamil-Taml,Hindi-Deva,Bengali-Beng,Arabic-Arab,French-Latn,German-Latn
XLM-R Base,flores_plus,Per-language F1,Yes,0.0,0.0,,0.0,0.9985,0.0,0.1835,0.0,0.6671,0.999,1.0
XLM-R Base,commonlid,Per-language F1,Yes,0.0,0.0,,0.0,0.9473,0.0,0.4403,0.0,0.9955,0.9483,0.9677
XLM-R Base,wili-2018,Per-language F1,Yes,0.0,0.0,,0.0,0.9527,0.0,0.1811,0.0,0.0,0.99,0.9899
ConLID,flores_plus,Per-language F1,Yes,0.7916,,,0.6027,0.996,0.9995,0.997,0.9995,0.3733,1.0,0.997
ConLID,commonlid,Per-language F1,Yes,0.7916,,,0.5468,0.85,0.9818,0.9443,0.9615,0.7664,0.8974,0.8953
ConLID,wili-2018,Per-language F1,Yes,0.7916,,,0.5948,0.9439,0.9945,0.9899,0.9435,0.0,0.9819,0.9707
fastText LID-176,flores_plus,Per-language F1,Yes,0.7912,,,0.5703,0.7213,1.0,0.9629,1.0,0.6667,0.9873,0.9897
fastText LID-176,commonlid,Per-language F1,Yes,0.791,,,0.4904,0.9724,0.9643,0.9702,0.9936,0.9947,0.9447,0.9673
fastText LID-176,wili-2018,Per-language F1,Yes,0.7912,,,0.5931,0.9385,0.995,0.9889,0.9529,0.0,0.9774,0.9854
GlotLID v3,flores_plus,Per-language F1,Yes,0.7914,,,0.5998,1.0,1.0,0.9926,0.9995,0.6054,1.0,1.0
GlotLID v3,commonlid,Per-language F1,Yes,0.7914,,,0.5476,0.9255,0.9878,0.9713,0.9792,0.9631,0.9255,0.9215
GlotLID v3,wili-2018,Per-language F1,Yes,0.7914,,,0.594,0.9377,0.995,0.9173,0.9451,0.0,0.988,0.9754
NLLB LID-218,flores_plus,Per-language F1,Yes,0.7912,,,0.5952,0.984,1.0,0.9912,1.0,0.6664,0.9995,1.0
NLLB LID-218,commonlid,Per-language F1,Yes,0.7912,,,0.521,0.924,0.9747,0.964,0.9863,0.9923,0.9289,0.941
NLLB LID-218,wili-2018,Per-language F1,Yes,0.7912,,,0.5935,0.9301,0.994,0.9889,0.9429,0.0,0.99,0.9904
OpenLID-v2,flores_plus,Per-language F1,Yes,0.7912,,,0.0153,0.9995,1.0,0.0361,0.997,0.5579,0.9975,1.0
OpenLID-v2,commonlid,Per-language F1,Yes,0.7912,,,0.0495,0.8973,0.9877,0.1749,0.9722,0.9473,0.9052,0.9239
OpenLID-v2,wili-2018,Per-language F1,Yes,0.7912,,,0.012,0.9427,0.994,0.0134,0.9424,0.0,0.9687,0.9817
