Model,Architecture Paradigm,FLORES+,WiLI-2018,CommonLID
fastText (from scratch),Subword Embeddings,0.9281,0.9584,0.8758
Multinomial NB,Probabilistic ML,0.9332,0.9785,0.9342
Linear SVM,Margin Linear ML,0.9342,0.9679,0.8895
Char n-gram + LogReg,Frequency NLP Baseline,0.9298,0.975,0.8907
XGBoost,Gradient Tree Boosting,0.9181,0.9215,0.8734
Char-CNN,Deep Learning (1D-CNN),0.9177,0.879,0.8398
Char-BiGRU,Deep Learning (BiGRU),0.9111,0.877,0.8166
XLM-R Base (LoRA + Mix),Transformer (Foundation),0.9267,0.888,0.9737
ConLID (Head Ext.),CNN-Transformer (Foundation),0.9329,0.9688,0.9261
fastText LID-176 (Two-Stage),Subwords (Foundation LID-176),0.9276,0.9745,0.9645
GlotLID v3 (Vec Transfer),Subwords (Foundation 2.1k),0.9465,0.957,0.9527
NLLB LID-218 (C++ Extend),Subwords (Foundation LID-218),0.953,0.9675,0.9501
OpenLID-v2 (Two-Stage),Subwords (Foundation OpenLID),0.7759,0.7782,0.7913
