Unnamed: 0,Zero shot Results,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,,,flores_plus,,,,,,,,,,,,,commonlid,,,,,,,,,,,,,wili-2018,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,Sinhala-Sinh,Pali-Sinh,Sanskrit-Sinh,Sanskrit-Deva,English-Latn,Tamil-Taml,Hindi-Deva,Bengali-Beng,Arabic-Arab,French-Latn,German-Latn,,Model,Sinhala-Sinh,Pali-Sinh,Sanskrit-Sinh,Sanskrit-Deva,English-Latn,Tamil-Taml,Hindi-Deva,Bengali-Beng,Arabic-Arab,French-Latn,German-Latn,,Model,Sinhala-Sinh,Pali-Sinh,Sanskrit-Sinh,Sanskrit-Deva,English-Latn,Tamil-Taml,Hindi-Deva,Bengali-Beng,Arabic-Arab,French-Latn,German-Latn
XLM-R Base,,,,,0.9985,,0.1835,,0.6671,0.999,1,,XLM-R Base,,,,,0.9473,,0.4403,,0.9955,0.9483,0.9677,,XLM-R Base,,,,,0.9527,,0.1811,,,0.99,0.9899
ConLID,0.7916,,,0.9985,0.996,0.9995,0.997,0.9995,0.3733,1,0.997,,ConLID,0.7916,,,0.9591,0.85,0.9818,0.9443,0.9615,0.7664,0.8974,0.8953,,ConLID,0.7916,,,0.9924,0.9439,0.9945,0.9899,0.9435,,0.9819,0.9707
fastText LID-176,0.7912,,,0.9594,0.7213,1,0.9629,1,0.6667,0.9873,0.9897,,fastText LID-176,0.791,,,0.8886,0.9724,0.9643,0.9702,0.9936,0.9947,0.9447,0.9673,,fastText LID-176,0.7912,,,0.9904,0.9385,0.995,0.9889,0.9529,,0.9774,0.9854
GlotLID v3,0.7914,,,0.995,1,1,0.9926,0.9995,0.6054,1,1,,GlotLID v3,0.7914,,,0.9634,0.9255,0.9878,0.9713,0.9792,0.9631,0.9255,0.9215,,GlotLID v3,0.7914,,,0.9914,0.9377,0.995,0.9173,0.9451,,0.988,0.9754
NLLB LID-218,0.7912,,,0.9895,0.984,1,0.9912,1,0.6664,0.9995,1,,NLLB LID-218,0.7912,,,0.9282,0.924,0.9747,0.964,0.9863,0.9923,0.9289,0.941,,NLLB LID-218,0.7912,,,0.9909,0.9301,0.994,0.9889,0.9429,,0.99,0.9904
OpenLID-v2,0.7912,,,0.035,0.9995,1,0.0361,0.997,0.5579,0.9975,1,,OpenLID-v2,0.7912,,,0.1169,0.8973,0.9877,0.1749,0.9722,0.9473,0.9052,0.9239,,OpenLID-v2,0.7912,,,0.0276,0.9427,0.994,0.0134,0.9424,,0.9687,0.9817
,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FineTuning Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,flores_plus,,,,,,,,,,,,,commonlid,,,,,,,,,,,,,wili-2018,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,Sinhala-Sinh,Pali-Sinh,Sanskrit-Sinh,Sanskrit-Deva,English-Latn,Tamil-Taml,Hindi-Deva,Bengali-Beng,Arabic-Arab,French-Latn,German-Latn,,Model,Sinhala-Sinh,Pali-Sinh,Sanskrit-Sinh,Sanskrit-Deva,English-Latn,Tamil-Taml,Hindi-Deva,Bengali-Beng,Arabic-Arab,French-Latn,German-Latn,,Model,Sinhala-Sinh,Pali-Sinh,Sanskrit-Sinh,Sanskrit-Deva,English-Latn,Tamil-Taml,Hindi-Deva,Bengali-Beng,Arabic-Arab,French-Latn,German-Latn
XLM-R Base,,,,,,,,,,,,,XLM-R Base,,,,,,,,,,,,,XLM-R Base,,,,,,,,,,,
ConLID,0.9634,0.9705,0.9414,0.9985,0.996,0.9995,0.997,0.9995,0.3991,1,0.997,,ConLID,0.9634,0.9705,0.9414,0.9607,0.8488,0.9818,0.9415,0.9592,0.7966,0.8975,0.8888,,ConLID,0.9634,0.9705,0.9414,0.9924,0.9433,0.9945,0.9899,0.9435,,0.9809,0.968
fastText LID-176,0.9611,0.9751,0.9805,,0.7213,1.0000,1.0000,1.0000,0.6667,0.9873,0.9892,,fastText LID-176,0.9609,0.9751,0.9805,,0.9725,0.9643,0.9816,0.9936,0.9947,0.9447,0.9672,,fastText LID-176,0.9611,0.9751,0.9805,,0.9434,0.9950,0.9904,0.9529,,0.9779,0.9850
GlotLID v3,0.9688,0.0767,0.9019,0.9955,1,0.037,0.9926,0.9995,0.5962,0.994,1,,GlotLID v3,0.9689,0.9566,0.9019,0.9612,0.927,0.9818,0.9646,0.9792,0.9603,0.9256,0.9211,,GlotLID v3,0.9688,0.9566,0.9019,0.9914,0.9367,0.995,0.9126,0.9451,,0.9875,0.9744
